Exercise,Equipment,Exercise Type,Movement Type,Compound/Isolation,Muscle Group,Major Muscle,Minor Muscle,Example,Notes,Modifications,Beginner,Intermediate,Advanced,SL,GVT,Warmup,Light,Heavy
Seated Rope Pull,Machine,Cardio,Pull,Compound,Full Body,Full Body,Cardio,v-ropeflex.gif (https://dl.airtable.com/DtEGIKBaRmK5pvUoC217_v-ropeflex.gif),,,1,1,1,0,0,1,1,1
Shoulder/Military/Overhead Press,"Barbell,Dumbbells",Weight,Push,Compound,Shoulders,"Mid Delt,Front Delt",Rear Delt,03478637-60f5-49f1-95b3-593fead73610.gif (https://dl.airtable.com/lk4lhOS9RdqnKm5Pj7aw_03478637-60f5-49f1-95b3-593fead73610.gif),Bar + 5LB,,1,1,1,1,1,1,1,1
Side Arm / Lateral Raise,Dumbbells,Weight,Pull,Isolation,Shoulders,Mid Delt,"Front Delt,Rear Delt",12abf096-2edb-4062-8468-17e2951c14fe.gif (https://dl.airtable.com/NUbYbi5uRb6GeH0ZlcXi_12abf096-2edb-4062-8468-17e2951c14fe.gif),,,1,1,1,0,1,1,1,1
Side Lunge,"Body Weight,Barbell","Weight,Calisthenics",Push,Compound,Legs,"Quads,Glutes",Outer Thigh,lungeside.gif (https://dl.airtable.com/OL3jchvCRQSLsnYmhI55_lungeside.gif),,Easier: no weights,0,1,1,1,1,1,1,0
Side Plank,Body Weight,Calisthenics,Hold,Compound,Core,Core,Oblique,_main2_sideplank.jpg (https://dl.airtable.com/keRG2g3RECoT3LxhDGtQ__main2_sideplank.jpg),,Easier: do the movement from your knees,1,1,1,0,0,1,1,0
Side Plank with Leg Lift,"Band,Body Weight",Calisthenics,Hold,Compound,Core,Core,Oblique,75dcba8e-f0af-48c0-a6e8-c477b738911e.gif (https://dl.airtable.com/llvinxQRxCzG0K0YihOQ_75dcba8e-f0af-48c0-a6e8-c477b738911e.gif),,Easier: do the movement from your knees,0,1,1,0,0,1,1,0
Single Arm/Barbell Clean and Press ,"Kettlebells,Dumbbells,Barbell",Weight,"Push,Pull",Compound,Full Body,"Front Delt,Mid Delt,Mid Back,Hamstrings","Triceps,Core",KettleBellCleanPress.gif (https://dl.airtable.com/M3Q7JQh4SEC22nZq5ru0_KettleBellCleanPress.gif),Currently using 25LB,,0,0,1,1,1,1,1,1
Single Leg Hip Bridge,"Body Weight,Dumbbells,Bosu Ball",Weight,Push,Isolation,Legs,Glutes,Hamstrings,Hip-Thrust.gif (https://dl.airtable.com/nNGVnc7SFewVtiVcQb3U_Hip-Thrust.gif),You're wasting your time on this if you're not actually thinking about squeezing your glutes with each movement. You really need to be focused to do this.,Easier: remove the ball and do this movement from the floor.,0,1,1,0,0,0,1,0
Single Leg Squat,Body Weight,Calisthenics,Push,Compound,Legs,"Quads,Glutes,Calves",,c7c4a48e-8a32-4f5e-aacf-bf152712e71a.gif (https://dl.airtable.com/PtJIrGJjSkqqfObx7q8c_c7c4a48e-8a32-4f5e-aacf-bf152712e71a.gif),,,0,0,1,1,1,0,1,1
Situp and Throw,Medicine Ball,Calisthenics,"Push,Pull",Compound,Full Body,Full Body,,30-best-ab-exercises-situp-and-throw.jpg (https://dl.airtable.com/NDsSU55jRXSUAdKHEZA3_30-best-ab-exercises-situp-and-throw.jpg),,,0,1,1,0,0,1,1,1
Skaters,Body Weight,Cardio,Cardio,Compound,Cardio,Cardio,Outer Thigh,cca03f06-da6a-4d09-9718-b6e595fb2b96.gif (https://dl.airtable.com/Q5dmhk82TzqmlWq6xqJg_cca03f06-da6a-4d09-9718-b6e595fb2b96.gif),Lady in the gif isn't giving it 100% make sure to touch the ground between reps,Easier: remove the jump,1,1,1,0,0,1,1,0
Skull Crusher,"Dumbbells,EZ Bar",Weight,Pull,Isolation,Arms,Triceps,,14.gif (https://dl.airtable.com/h9v6LLAERqunzBJAdjeD_14.gif),,,0,1,1,0,0,0,1,1
Spiderman Pushup,Body Weight,Calisthenics,Push,Compound,Chest,Pecs,"Triceps,Oblique",0dd5e852-dd90-4f1e-a570-c20dca7c72cf.gif (https://dl.airtable.com/OK93O1xWRA2yu3GG8zoF_0dd5e852-dd90-4f1e-a570-c20dca7c72cf.gif),,"Easier: do a pushup from your knees, and then the spiderman movement",0,1,1,0,0,1,1,0
Squat,"Barbell,Dumbbells,Body Weight",Weight,Push,Compound,Legs,"Quads,Glutes","Calves,Core,Lower Back",barbell-squat.gif (https://dl.airtable.com/r3DIlCSPTsimSjgCPuHS_barbell-squat.gif),Bar + 45LB,Easier: air squat,1,1,1,1,1,1,1,1
Squat Jump,Body Weight,"Plyo,Cardio",Push,Compound,Legs,"Quads,Glutes,Calves",Cardio,5a1e902f-42e7-4b38-b3c5-af3cb2cbbf0c.gif (https://dl.airtable.com/gpp3YS4jTyijTClCALdq_5a1e902f-42e7-4b38-b3c5-af3cb2cbbf0c.gif),You can do these for height (plyo) or speed (cardio) and to switch them up sometimes do them with your arms clasped at the front so it's a leg-only exercise,"Easier: Just do an air squat, or alternate squat and squat jump",1,1,1,0,0,1,1,0
Squat to Lateral Leg Lift,Band,Calisthenics,Push,Compound,Legs,"Quads,Glutes,Calves","Inner Thigh,Outer Thigh",_SquatLateralLegLiftSelf2_1_3.gif (https://dl.airtable.com/ZuOXOtbTRcuVbC9uQPuY__SquatLateralLegLiftSelf2_1_3.gif),,,0,1,1,0,0,1,1,0
Stair Climber,Machine,Cardio,Cardio,Compound,Legs,"Quads,Glutes,Calves,Cardio",,JL-STAIRWAY-2.jpg (https://dl.airtable.com/Nm3wY1S6T26y1Y8gvjMF_JL-STAIRWAY-2.jpg),"Whatever you do, don't slouch or rest your bodyweight on the handlebars while you do this. That's just lazy. Maintain good posture. Hold weight while doing for extra challenge",,1,1,1,0,0,1,1,0
Standing Glute Kickbaks,Band,Plyo,Pull,Isolation,Legs,Glutes,,_StandingGluteKickBackSelf2_1_4.gif (https://dl.airtable.com/uF03I0P8SQW3vLXFUfRN__StandingGluteKickBackSelf2_1_4.gif),,Easier: do this without the band. Use an,1,1,1,0,0,0,1,0
Standing Leg Lift,"Cables,Band",Plyo,Pull,Isolation,Legs,"Inner Thigh,Outer Thigh,Glutes",,"standing abduction.jpg (https://dl.airtable.com/5som2SlmRjmkjITXHWtQ_standing%20abduction.jpg),Athletic-woman-doing-side-kick-resistance-band-exercise-1024x954.jpg (https://dl.airtable.com/a1WhvoWCTpB8KuxQc1Up_Athletic-woman-doing-side-kick-resistance-band-exercise-1024x954.jpg)",,,0,1,1,0,0,0,1,0
Standing Oblique Crunch,Dumbbells,Weight,Pull,Isolation,Core,Oblique,Core,Standing-Oblique-Crunches.gif (https://dl.airtable.com/38n4dcbTgCM2tjvxWKUb_Standing-Oblique-Crunches.gif),20LB Weight Minimum,,1,1,1,0,0,1,1,0
Star Jump,Body Weight,Plyo,Cardio,Compound,Full Body,Full Body,,workoutanniversarygif06570.gif (https://dl.airtable.com/ISLRenRs2FWV3QFratPw_workoutanniversarygif06570.gif),,,1,1,1,0,0,1,1,0
Step Up Lunges,"Platform,Dumbbells",Plyo,Cardio,Compound,Legs,"Quads,Glutes,Calves",,dumbbell-step-up.gif (https://dl.airtable.com/QBmW9FpxQn2FN7CQLFH7_dumbbell-step-up.gif),,Easier: Don't hold weights,1,1,1,0,1,1,1,1
Step-Back Lunge,"Barbell,Body Weight,Dumbbells",Weight,Push,Compound,Legs,"Quads,Glutes,Calves",Core,bikini_prep_full_glute_training_routine_quest_cake_recipe_training_vlog.gif (https://dl.airtable.com/A2uJ0HlJQWWebQFz0eul_bikini_prep_full_glute_training_routine_quest_cake_recipe_training_vlog.gif),,,0,0,1,1,1,1,1,1
Straightup Situp,Dumbbells,"Plyo,Weight",Pull,Compound,Full Body,"Full Body,Core",,30-best-ab-exercises-straight-leg-barbell-situp.jpg (https://dl.airtable.com/GPXUq5zcRoGqP9WbvJLa_30-best-ab-exercises-straight-leg-barbell-situp.jpg),,,0,0,1,0,0,1,1,1
Sumo Squat,"Barbell,Dumbbells,Body Weight",Weight,Push,Compound,Legs,"Quads,Glutes","Inner Thigh,Outer Thigh,Calves",a7a48b0ff2d2b6b10e086290b1fede92.gif (https://dl.airtable.com/OLsqAqSuS16qsySMCgAw_a7a48b0ff2d2b6b10e086290b1fede92.gif),Bar + 35LB. You want your legs to be just wide enough that your knees still track over your toes,,0,1,1,1,1,1,1,1
Superman,Body Weight,Calisthenics,Hold,Isolation,Core,Core,,13a573f1_Superman.jpg (https://dl.airtable.com/I7Gp5cmZTKejJcfh2oNA_13a573f1_Superman.jpg),,"Easier: alternate lifting. Lift your arms from the ground first, then your legs from the ground.",1,1,1,0,0,1,1,0
